n,theta_rad,theta_deg,axis,target_qubit,function,error_position,P0,success_probability,std_error,shots
1,0.10471975511965978,6.000000000000001,Y,0,constant_0,E2_after_first_H,0.9970703125,0.9970703125,0.0016889763308131972,1024
1,0.10471975511965978,6.000000000000001,Y,0,constant_0,E3_after_oracle,0.998046875,0.998046875,0.001379718573664223,1024
1,0.10471975511965978,6.000000000000001,Y,0,constant_0,E4_after_final_H,0.9990234375,0.9990234375,0.0009760855463695969,1024
1,0.10471975511965978,6.000000000000001,Z,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.10471975511965978,6.000000000000001,Z,0,constant_0,E1_before_H,1.0,1.0,0.0,1024
1,0.10471975511965978,6.000000000000001,Z,0,constant_0,E2_after_first_H,0.9951171875,0.9951171875,0.0021783224090262355,1024
1,0.10471975511965978,6.000000000000001,Z,0,constant_0,E3_after_oracle,0.998046875,0.998046875,0.001379718573664223,1024
1,0.10471975511965978,6.000000000000001,Z,0,constant_0,E4_after_final_H,1.0,1.0,0.0,1024
1,0.12217304763960307,7.0,X,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.12217304763960307,7.0,X,0,constant_0,E1_before_H,0.9951171875,0.9951171875,0.0021783224090262355,1024
1,0.12217304763960307,7.0,X,0,constant_0,E2_after_first_H,1.0,1.0,0.0,1024
1,0.12217304763960307,7.0,X,0,constant_0,E3_after_oracle,1.0,1.0,0.0,1024
1,0.12217304763960307,7.0,X,0,constant_0,E4_after_final_H,0.9990234375,0.9990234375,0.0009760855463695969,1024
1,0.12217304763960307,7.0,Y,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.12217304763960307,7.0,Y,0,constant_0,E1_before_H,0.9951171875,0.9951171875,0.0021783224090262355,1024
1,0.12217304763960307,7.0,Y,0,constant_0,E2_after_first_H,0.9951171875,0.9951171875,0.0021783224090262355,1024
1,0.12217304763960307,7.0,Y,0,constant_0,E3_after_oracle,0.99609375,0.99609375,0.0019493065701503066,1024
1,0.12217304763960307,7.0,Y,0,constant_0,E4_after_final_H,0.9970703125,0.9970703125,0.0016889763308131972,1024
1,0.12217304763960307,7.0,Z,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.12217304763960307,7.0,Z,0,constant_0,E1_before_H,1.0,1.0,0.0,1024
1,0.12217304763960307,7.0,Z,0,constant_0,E2_after_first_H,0.998046875,0.998046875,0.001379718573664223,1024
1,0.12217304763960307,7.0,Z,0,constant_0,E3_after_oracle,0.9970703125,0.9970703125,0.0016889763308131972,1024
1,0.12217304763960307,7.0,Z,0,constant_0,E4_after_final_H,1.0,1.0,0.0,1024
1,0.13962634015954636,8.0,X,0,constant_0,no_error,1.0,1.0,0.0,1024
1,0.13962634015954636,8.0,X,0,constant_0,E1_before_H,0.9970703125,0.9970703125,0.0016889763308131972,1024
