n,theta_rad,theta_deg,axis,target_qubit,function,error_position,P0,success,shots
1,0.17453292519943295,10.0,Y,0,constant_1,E3_after_oracle,0.990234375,0.990234375,1024
1,0.17453292519943295,10.0,Y,0,constant_1,E4_after_final_H,0.990234375,0.990234375,1024
1,0.17453292519943295,10.0,Y,0,balanced,no_error,0.0,1.0,1024
1,0.17453292519943295,10.0,Y,0,balanced,E1_before_H,0.0087890625,0.9912109375,1024
1,0.17453292519943295,10.0,Y,0,balanced,E2_after_first_H,0.005859375,0.994140625,1024
1,0.17453292519943295,10.0,Y,0,balanced,E3_after_oracle,0.0048828125,0.9951171875,1024
1,0.17453292519943295,10.0,Y,0,balanced,E4_after_final_H,0.005859375,0.994140625,1024
1,0.17453292519943295,10.0,Z,0,constant_0,no_error,1.0,1.0,1024
1,0.17453292519943295,10.0,Z,0,constant_0,E1_before_H,1.0,1.0,1024
1,0.17453292519943295,10.0,Z,0,constant_0,E2_after_first_H,0.9921875,0.9921875,1024
1,0.17453292519943295,10.0,Z,0,constant_0,E3_after_oracle,0.99609375,0.99609375,1024
1,0.17453292519943295,10.0,Z,0,constant_0,E4_after_final_H,1.0,1.0,1024
1,0.17453292519943295,10.0,Z,0,constant_1,no_error,1.0,1.0,1024
1,0.17453292519943295,10.0,Z,0,constant_1,E1_before_H,1.0,1.0,1024
1,0.17453292519943295,10.0,Z,0,constant_1,E2_after_first_H,0.9931640625,0.9931640625,1024
1,0.17453292519943295,10.0,Z,0,constant_1,E3_after_oracle,0.9912109375,0.9912109375,1024
1,0.17453292519943295,10.0,Z,0,constant_1,E4_after_final_H,1.0,1.0,1024
1,0.17453292519943295,10.0,Z,0,balanced,no_error,0.0,1.0,1024
1,0.17453292519943295,10.0,Z,0,balanced,E1_before_H,0.0,1.0,1024
1,0.17453292519943295,10.0,Z,0,balanced,E2_after_first_H,0.0048828125,0.9951171875,1024
1,0.17453292519943295,10.0,Z,0,balanced,E3_after_oracle,0.0068359375,0.9931640625,1024
1,0.17453292519943295,10.0,Z,0,balanced,E4_after_final_H,0.0,1.0,1024
1,0.3490658503988659,20.0,X,0,constant_0,no_error,1.0,1.0,1024
1,0.3490658503988659,20.0,X,0,constant_0,E1_before_H,0.9697265625,0.9697265625,1024
1,0.3490658503988659,20.0,X,0,constant_0,E2_after_first_H,1.0,1.0,1024
1,0.3490658503988659,20.0,X,0,constant_0,E3_after_oracle,1.0,1.0,1024
1,0.3490658503988659,20.0,X,0,constant_0,E4_after_final_H,0.96484375,0.96484375,1024
1,0.3490658503988659,20.0,X,0,constant_1,no_error,1.0,1.0,1024
1,0.3490658503988659,20.0,X,0,constant_1,E1_before_H,0.9697265625,0.9697265625,1024
1,0.3490658503988659,20.0,X,0,constant_1,E2_after_first_H,1.0,1.0,1024
1,0.3490658503988659,20.0,X,0,constant_1,E3_after_oracle,1.0,1.0,1024
1,0.3490658503988659,20.0,X,0,constant_1,E4_after_final_H,0.962890625,0.962890625,1024
1,0.3490658503988659,20.0,X,0,balanced,no_error,0.0,1.0,1024
1,0.3490658503988659,20.0,X,0,balanced,E1_before_H,0.0341796875,0.9658203125,1024
1,0.3490658503988659,20.0,X,0,balanced,E2_after_first_H,0.0,1.0,1024
1,0.3490658503988659,20.0,X,0,balanced,E3_after_oracle,0.0,1.0,1024
1,0.3490658503988659,20.0,X,0,balanced,E4_after_final_H,0.0322265625,0.9677734375,1024
1,0.3490658503988659,20.0,Y,0,constant_0,no_error,1.0,1.0,1024
1,0.3490658503988659,20.0,Y,0,constant_0,E1_before_H,0.970703125,0.970703125,1024
1,0.3490658503988659,20.0,Y,0,constant_0,E2_after_first_H,0.978515625,0.978515625,1024
1,0.3490658503988659,20.0,Y,0,constant_0,E3_after_oracle,0.978515625,0.978515625,1024
1,0.3490658503988659,20.0,Y,0,constant_0,E4_after_final_H,0.9697265625,0.9697265625,1024
1,0.3490658503988659,20.0,Y,0,constant_1,no_error,1.0,1.0,1024
1,0.3490658503988659,20.0,Y,0,constant_1,E1_before_H,0.9677734375,0.9677734375,1024
1,0.3490658503988659,20.0,Y,0,constant_1,E2_after_first_H,0.97265625,0.97265625,1024
1,0.3490658503988659,20.0,Y,0,constant_1,E3_after_oracle,0.9775390625,0.9775390625,1024
1,0.3490658503988659,20.0,Y,0,constant_1,E4_after_final_H,0.9560546875,0.9560546875,1024
